NameMovie,EnNameMovie,Year,Rating_runtime,IMDbRating,CustomerRating,Populary,Genre,Decribe,Director,Writter_Star,User_reviews,CriticReviews_Metascore
Thor: Tình Yêu Và Sấm Sét,Thor: Love and Thunder,2022,C13C131h 58m,6.9/10,80K,1,ActionAdventureComedy,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",Taika Waititi,WritersTaika Waititi(story by)Jennifer Kaytin RobinsonStan Lee(based on the Marvel comics by)StarsChris HemsworthNatalie PortmanChristian Bale,1.7K,234 57
Phi Công Siêu Đẳng Maverick,Top Gun: Maverick,2022,C13C132h 10m,8.6/10,227K,3,ActionDrama,"After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.",Joseph Kosinski,WritersJim Cash(based on characters created by)Jack Epps Jr.(based on characters created by)Peter Craig(story by)StarsTom CruiseJennifer ConnellyMiles Teller,2.7K,349 78
Phù Thủy Tối Thượng Trong Đa Vũ Trụ Hỗn Loạn,Doctor Strange in the Multiverse of Madness,2022,C13C132h 6m,7.1/10,300K,6,ActionAdventureFantasy,"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others.",Sam Raimi,WritersMichael WaldronStan Lee(Doctor Strange created by)Steve Ditko(Doctor Strange created by)StarsBenedict CumberbatchElizabeth OlsenChiwetel Ejiofor,3.5K,368 60
Thế Giới Khủng Long: Lãnh Địa,Jurassic World Dominion,2022,C13C132h 27m,5.8/10,78K,8,ActionAdventureSci-Fi,"Four years after the destruction of Isla Nublar, dinosaurs now live--and hunt--alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history's most fearsome creatures in a new Era.",Colin Trevorrow,WritersEmily Carmichael(screenplay by)Colin Trevorrow(screenplay by)Derek Connolly(story by)StarsChris PrattBryce Dallas HowardLaura Dern,1.8K,294 38
Phi Công Siêu Đẳng,Top Gun,1986,PGPG1h 50m,6.9/10,390K,11,ActionDrama,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",Tony Scott,"WritersJim CashJack Epps Jr.Ehud Yonay(magazine article ""Top Guns"")StarsTom CruiseTim RobbinsKelly McGillis",732,181 50
Cuộc Chiến Đa Vũ Trụ,Everything Everywhere All at Once,2022,C18C182h 19m,8.2/10,145K,12,ActionAdventureComedy,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save the world by exploring other universes connecting with the lives she could have led.",Dan Kwan,DirectorsDan KwanDaniel ScheinertWritersDan KwanDaniel ScheinertStarsMichelle YeohStephanie HsuKe Huy Quan,1.6K,288 81
Người Đàn Ông Toronto,The Man from Toronto,2022,C13C131h 50m,5.8/10,25K,13,ActionAdventureThriller,The world's deadliest assassin and New York's biggest screw-up are mistaken for each other at an Airbnb rental.,Patrick Hughes,WritersRobbie Fox(screenplay by)Chris Bremner(screenplay by)Jason Blumenthal(story by)StarsKevin HartWoody HarrelsonJasmine Mathews,296,63 34
Ngày Độc Lập,Independence Day,1996,PG-13PG-132h 25m,7.0/10,568K,15,ActionAdventureSci-Fi,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",Roland Emmerich,WritersDean DevlinRoland EmmerichStarsWill SmithBill PullmanJeff Goldblum,1K,199 59
Lightyear - Cảnh Sát Vũ Trụ,Lightyear,2022,PP1h 40m,5.3/10,44K,21,AnimationActionAdventure,"While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source.",Angus MacLane,WritersAngus MacLane(story by)Matthew Aldrich(story by)Jason Headley(story by)StarsChris Evans(voice)Keke Palmer(voice)Peter Sohn(voice),539,204 60
Batman: Vạch Trần Sự Thật,The Batman,2022,C16C162h 56m,7.9/10,539K,23,ActionCrimeDrama,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",Matt Reeves,WritersMatt ReevesPeter CraigBob Kane(created by: Batman)StarsRobert PattinsonZoë KravitzJeffrey Wright,7.3K,502 72
Chiến Binh Phương Bắc,The Northman,2022,RR2h 17m,7.2/10,140K,25,ActionAdventureDrama,"From visionary director Robert Eggers comes The Northman, an action-filled epic that follows a young Viking prince on his quest to avenge his father's murder.",Robert Eggers,WritersSjónRobert EggersStarsAlexander SkarsgårdNicole KidmanClaes Bang,1.7K,331 82
Gánh Nặng Ngàn Cân Của Tài Năng Kiệt Xuất,The Unbearable Weight of Massive Talent,2022,C16C161h 47m,7.1/10,53K,28,ActionComedyCrime,"In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish).",Tom Gormican,WritersTom GormicanKevin EttenStarsNicolas CagePedro PascalTiffany Haddish,494,238 68
Thor: Tận Thế Ragnarok,Thor: Ragnarok,2017,C13C132h 10m,7.9/10,714K,29,ActionAdventureComedy,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",Taika Waititi,WritersEric PearsonCraig KyleChristopher L. YostStarsChris HemsworthTom HiddlestonCate Blanchett,1.8K,461 74
Người Nhện: Không Còn Nhà,Spider-Man: No Way Home,2021,C13C132h 28m,8.3/10,675K,33,ActionAdventureFantasy,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",Jon Watts,WritersChris McKennaErik SommersStan Lee(based on the Marvel comic book by)StarsTom HollandZendayaBenedict Cumberbatch,6K,396 71
Sinh Vật Huyền Bí: Những Bí Mật Của Dumbledore,Fantastic Beasts: The Secrets of Dumbledore,2022,C13C132h 22m,6.2/10,110K,35,ActionAdventureFantasy,Professor Albus Dumbledore must assign Newt Scamander and his fellow partners as Grindelwald begins to lead an army to eliminate all Muggles.,David Yates,WritersJ.K. Rowling(screenplay by)Steve Kloves(screenplay by)StarsEddie RedmayneJude LawEzra Miller,1.2K,200 47
Thành Phố Mất Tích,The Lost City,2022,C13C131h 52m,6.1/10,77K,40,ActionAdventureComedy,A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.,Aaron Nee,DirectorsAaron NeeAdam NeeWritersOren Uziel(screenplay by)Dana Fox(screenplay by)Adam Nee(screenplay by)StarsSandra BullockChanning TatumDaniel Radcliffe,783,204 60
Không Phải Lúc Chết,No Time to Die,2021,C16C162h 43m,7.3/10,374K,43,ActionAdventureThriller,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",Cary Joji Fukunaga,WritersNeal Purvis(screenplay by)Robert Wade(screenplay by)Cary Joji Fukunaga(screenplay by)StarsDaniel CraigAna de ArmasRami Malek,4K,442 68
Công Viên Kỷ Jura,Jurassic Park,1993,PG-13PG-132h 7m,8.2/10,965K,52,ActionAdventureSci-Fi,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Steven Spielberg,WritersMichael Crichton(novel)David Koepp(screenplay)StarsSam NeillLaura DernJeff Goldblum,1.3K,253 68
Thần Sấm Thor,Thor,2011,PG-13PG-131h 55m,7.0/10,827K,56,ActionAdventureFantasy,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",Kenneth Branagh,WritersAshley Miller(screenplay)Zack Stentz(screenplay)Don Payne(screenplay)StarsChris HemsworthAnthony HopkinsNatalie Portman,1K,573 57
Thợ Săn Cổ Vật,Uncharted,2022,(Banned)(Banned)1h 56m,6.4/10,145K,58,ActionAdventure,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.",Ruben Fleischer,WritersRafe Judkins(screenplay by)Art Marcum(screenplay by)Matt Holloway(screenplay by)StarsTom HollandMark WahlbergAntonio Banderas,1.3K,251 45
Hành Tinh Cát,Dune: Part One,2021,C13C132h 35m,8.0/10,589K,61,ActionAdventureDrama,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,Denis Villeneuve,WritersJon Spaihts(screenplay by)Denis Villeneuve(screenplay by)Eric Roth(screenplay by)StarsTimothée ChalametRebecca FergusonZendaya,5.5K,505 74
Avengers: Hồi Kết,Avengers: Endgame,2019,C13C133h 1m,8.4/10,1.1M,67,ActionAdventureDrama,"After the devastating events of Avengers: Cuộc Chiến Vô Cực (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Anthony Russo,DirectorsAnthony RussoJoe RussoWritersChristopher Markus(screenplay by)Stephen McFeely(screenplay by)Stan Lee(based on the Marvel comics by)StarsRobert Downey Jr.Chris EvansMark Ruffalo,9.5K,593 78
Chủng Tộc Bất Tử,Eternals,2021,C16C162h 36m,6.3/10,319K,73,ActionAdventureFantasy,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",Chloé Zhao,WritersChloé Zhao(screenplay by)Patrick Burleigh(screenplay by)Ryan Firpo(screenplay by)StarsGemma ChanRichard MaddenAngelina Jolie,3.5K,344 52
Quỷ Đỏ 3,Hellboy,2019,C18C182h,5.2/10,89K,76,ActionAdventureFantasy,"Based on the graphic novels by Mike Mignola, Hellboy, caught between the worlds of the supernatural and human, battles an ancient sorceress bent on revenge.",Neil Marshall,"WritersAndrew Cosby(screenplay by)Mike Mignola(based on the Dark Horse Comic Book ""Hellboy"" created by)StarsDavid HarbourMilla JovovichIan McShane",1.5K,275 31
Trùm Bài,Wild Card,2015,RR1h 32m,5.6/10,55K,77,ActionCrimeDrama,"When a Las Vegas bodyguard with lethal skills and a gambling problem gets in trouble with the mob, he has one last play...and it's all or nothing.",Simon West,"WriterWilliam Goldman(based on the novel ""Heat"" by)StarsJason StathamMichael AngaranoDominik Garcia",198,143 40
Xe Cấp Cứu,Ambulance,2022,C18C182h 16m,6.1/10,52K,79,ActionCrimeDrama,Two robbers steal an ambulance after their heist goes awry.,Michael Bay,"WritersChris Fedak(screenplay by)Laurits Munch-Petersen(based on the film ""Ambulancen"" written by)Lars Andreas Pedersen(based on the film ""Ambulancen"" written by)StarsJake GyllenhaalYahya Abdul-Mateen IIEiza González",932,193 55
Chiến Tranh Giữa Các Vì Sao Tập 4: Niềm Hi Vọng Mới,Star Wars,1977,PP2h 1m,8.6/10,1.3M,83,ActionAdventureFantasy,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,WriterGeorge LucasStarsMark HamillHarrison FordCarrie Fisher,2K,211 90
Nhím Sonic 2,Sonic the Hedgehog 2,2022,PP2h 2m,6.6/10,52K,85,ActionAdventureComedy,"When the manic Dr Robotnik returns to Earth with a new ally, Knuckles the Echidna, Sonic and his new friend Tails is all that stands in their way.",Jeff Fowler,WritersPat Casey(screenplay by)Josh Miller(screenplay by)John Whittington(screenplay by)StarsJames MarsdenJim CarreyBen Schwartz(voice),532,149 47
Kẻ Đánh Cắp Giấc Mơ,Inception,2010,PG-13PG-132h 28m,8.8/10,2.3M,90,ActionAdventureSci-Fi,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,WriterChristopher NolanStarsLeonardo DiCaprioJoseph Gordon-LevittElliot Page,4.6K,482 74
Kỵ Sĩ Bóng Đêm,The Dark Knight,2008,PG-13PG-132h 32m,9.0/10,2.6M,91,ActionCrimeDrama,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,WritersJonathan Nolan(screenplay)Christopher Nolan(screenplay)David S. Goyer(story)StarsChristian BaleHeath LedgerAaron Eckhart,8.2K,436 84
Giải Cứu 'Guy',Free Guy,2021,PG-13PG-131h 55m,7.1/10,349K,93,ActionAdventureComedy,"A bank teller discovers that he's actually an NPC inside a brutal, open world video game.",Shawn Levy,WritersMatt Lieberman(screenplay by)Zak Penn(screenplay by)StarsRyan ReynoldsJodie ComerTaika Waititi,2K,284 62
Thor 2: Thế Giới Bóng Tối,Thor: The Dark World,2013,C13C131h 52m,6.8/10,666K,94,ActionAdventureFantasy,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.",Alan Taylor,WritersChristopher L. Yost(screenplay by)Christopher Markus(screenplay by)Stephen McFeely(screenplay by)StarsChris HemsworthNatalie PortmanTom Hiddleston,818,512 54
Kỵ Sĩ Bóng Đêm Trỗi Dậy,The Dark Knight Rises,2012,PG-13PG-132h 44m,8.4/10,1.7M,107,ActionDrama,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Christopher Nolan,WritersJonathan Nolan(screenplay)Christopher Nolan(screenplay)David S. Goyer(story)StarsChristian BaleTom HardyAnne Hathaway,3.7K,562 78
Ngày Độc Lập: Tái Chiến,Independence Day: Resurgence,2016,C13C132h,5.2/10,178K,114,ActionAdventureSci-Fi,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",Roland Emmerich,WritersNicolas Wright(screenplay by)James A. Woods(screenplay by)Dean Devlin(screenplay by)StarsLiam HemsworthJeff GoldblumBill Pullman,992,384 32
Thế Giới Khủng Long,Jurassic World,2015,PP2h 4m,6.9/10,633K,121,ActionAdventureSci-Fi,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",Colin Trevorrow,WritersRick Jaffa(screenplay by)Amanda Silver(screenplay by)Colin Trevorrow(screenplay by)StarsChris PrattBryce Dallas HowardTy Simpkins,1.6K,703 59
Thế Giới Khủng Long: Vương Quốc Sụp Đổ,Jurassic World: Fallen Kingdom,2018,C13C132h 8m,6.1/10,309K,122,ActionAdventureSci-Fi,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",J.A. Bayona,WritersDerek ConnollyColin TrevorrowMichael Crichton(based on characters created by)StarsChris PrattBryce Dallas HowardRafe Spall,1.9K,467 51
Chiến Tranh Giữa Các Vì Sao 1: Hiểm Họa Bóng Ma,Star Wars: Episode I - The Phantom Menace,1999,PGPG2h 16m,6.5/10,791K,129,ActionAdventureFantasy,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.",George Lucas,WriterGeorge LucasStarsEwan McGregorLiam NeesonNatalie Portman,4K,361 51
Phù Thủy Tối Thượng,Doctor Strange,2016,C13C131h 55m,7.5/10,720K,135,ActionAdventureFantasy,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",Scott Derrickson,WritersJon SpaihtsScott DerricksonC. Robert CargillStarsBenedict CumberbatchChiwetel EjioforRachel McAdams,1.1K,499 72
Avengers: Cuộc Chiến Vô Cực,Avengers: Infinity War,2018,C16C162h 29m,8.4/10,1M,136,ActionAdventureSci-Fi,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Anthony Russo,DirectorsAnthony RussoJoe RussoWritersChristopher Markus(screenplay by)Stephen McFeely(screenplay by)Stan Lee(based on the Marvel comics by)StarsRobert Downey Jr.Chris HemsworthMark Ruffalo,4.5K,628 68
Star Wars: Skywalker Trỗi Dậy,Star Wars: Episode IX - The Rise of Skywalker,2019,C13C132h 21m,6.5/10,437K,141,ActionAdventureFantasy,"In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.",J.J. Abrams,WritersChris Terrio(screenplay by)J.J. Abrams(screenplay by)Derek Connolly(story by)StarsDaisy RidleyJohn BoyegaOscar Isaac,8K,525 53
Cướp Biển Vùng Caribê: Lời Nguyền Của Tàu Ngọc Trai Đen,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PP2h 23m,8.1/10,1.1M,143,ActionAdventureFantasy,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Gore Verbinski,WritersTed Elliott(screen story)Terry Rossio(screen story)Stuart Beattie(screen story)StarsJohnny DeppGeoffrey RushOrlando Bloom,2.3K,181 63
Quý Ông Thế Giới Ngầm,The Gentlemen,2019,C18C181h 53m,7.8/10,324K,146,ActionComedyCrime,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",Guy Ritchie,WritersGuy Ritchie(story by)Ivan Atkinson(story by)Marn Davies(story by)StarsMatthew McConaugheyCharlie HunnamMichelle Dockery,1.7K,299 51
Chúa Tể Của Những Chiếc Nhẫn: Những Người Bạn Của Nhẫn,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13PG-132h 58m,8.8/10,1.8M,156,ActionAdventureDrama,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"WritersJ.R.R. Tolkien(novel ""The Fellowship of the Ring"")Fran Walsh(screenplay)Philippa Boyens(screenplay)StarsElijah WoodIan McKellenOrlando Bloom",5.6K,214 92
Trăng Rơi,Moonfall,2022,C13C132h 10m,5.2/10,56K,160,ActionAdventureSci-Fi,A mysterious force knocks the moon from its orbit and sends it hurtling on a collision course toward earth.,Roland Emmerich,WritersRoland EmmerichHarald KloserSpenser CohenStarsHalle BerryPatrick WilsonJohn Bradley,1.4K,217 41
Ma Trận: Hồi Sinh,The Matrix Resurrections,2021,C18C182h 28m,5.7/10,235K,163,ActionSci-Fi,"Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more.",Lana Wachowski,WritersLana Wachowski(based on characters created by)David MitchellAleksandar HemonStarsKeanu ReevesCarrie-Anne MossYahya Abdul-Mateen II,5.4K,351 63
Lách Luật Kiểu Mỹ,American Made,2017,C18C181h 55m,7.1/10,178K,164,ActionComedyCrime,"The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair.",Doug Liman,WriterGary SpinelliStarsTom CruiseDomhnall GleesonSarah Wright,354,288 65
Dự Án Adam,The Adam Project,2022,C13C131h 46m,6.7/10,181K,167,ActionAdventureComedy,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future.",Shawn Levy,WritersJonathan TropperT.S. NowlinJennifer FlackettStarsRyan ReynoldsWalker ScobellMark Ruffalo,1.1K,204 55
Trận Bóng Kinh Hoàng,Final Score,2018,C18C181h 44m,5.8/10,12K,168,ActionDramaThriller,"After deadly terrorists abduct his niece at a soccer match, an ex-soldier with lethal fighting skills wages a one-man war to save her and prevent mass destruction.",Scott Mann,WritersDavid T. Lynch(screenplay by)Keith Lynch(screenplay by)Jonathan Frank(screenplay by)StarsMartyn FordGordon AlexanderAlexandra Dinu,200,59 53
Góa Phụ Đen,Black Widow,2021,C16C162h 14m,6.7/10,359K,169,ActionAdventureSci-Fi,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,Cate Shortland,WritersEric Pearson(screenplay by)Jac Schaeffer(story by)Ned Benson(story by)StarsScarlett JohanssonFlorence PughDavid Harbour,3.1K,384 67
Suicide Squad: Điệp Vụ Cảm Tử,The Suicide Squad,2021,C18C182h 12m,7.2/10,335K,172,ActionAdventureComedy,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",James Gunn,WriterJames GunnStarsMargot RobbieIdris ElbaJohn Cena,3.4K,371 72
Vệ Binh Dải Ngân Hà,Guardians of the Galaxy,2014,C13C132h 1m,8.0/10,1.2M,173,ActionAdventureComedy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,James Gunn,WritersJames GunnNicole PerlmanDan Abnett(based on the Marvel comics by)StarsChris PrattVin Diesel(voice)Bradley Cooper(voice),1.5K,728 76
Kỳ Phùng Địch Thủ,Heat,1995,RR2h 50m,8.3/10,640K,178,ActionCrimeDrama,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,Michael Mann,WriterMichael MannStarsAl PacinoRobert De NiroVal Kilmer,1.2K,211 76
The King's Man: Khởi Nguồn,The King's Man,2021,RR2h 11m,6.3/10,134K,179,ActionAdventureThriller,"In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions.",Matthew Vaughn,"WritersMatthew Vaughn(screenplay by)Karl Gajdusek(screenplay by)Mark Millar(based on the comic book ""The Secret Service"" by)StarsRalph FiennesGemma ArtertonRhys Ifans",1K,192 44
Vùng Đất Quỷ Dữ: Quỷ Dữ Trỗi Dậy,Resident Evil: Welcome to Raccoon City,2021,RR1h 47m,5.2/10,47K,182,ActionHorrorSci-Fi,"Set in 1998, this origin story explores the secrets of the mysterious Spencer Mansion and the ill-fated Raccoon City.",Johannes Roberts,WriterJohannes RobertsStarsKaya ScodelarioRobbie AmellHannah John-Kamen,1.2K,145 44
Chiến Dịch Overlord,Overlord,2018,RR1h 50m,6.6/10,98K,184,ActionHorrorSci-Fi,A small group of American soldiers find horror behind enemy lines on the eve of D-Day.,Julius Avery,WritersBilly Ray(screenplay by)Mark L. Smith(screenplay by)StarsJovan AdepoWyatt RussellMathilde Ollivier,828,288 60
Vũ Khí Bóng Đêm: Thành Phố Xương,The Mortal Instruments: City of Bones,2013,C13C132h 10m,5.8/10,133K,185,ActionAdventureFantasy,"When her mother disappears, Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called the Shadow World.",Harald Zwart,WritersJessica Postigo(screenplay by)Cassandra Clare(based on the novel by)StarsLily CollinsJamie Campbell BowerRobert Sheehan,533,214 33
Chiến Tranh Giữa Các Vì Sao 3: Người Sith Báo Thù,Star Wars: Episode III - Revenge of the Sith,2005,PG-13PG-132h 20m,7.6/10,775K,189,ActionAdventureFantasy,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",George Lucas,WritersGeorge LucasJohn Ostrander(character created by: Aayla Secura)Jan Duursema(character created by: Aayla Secura)StarsHayden ChristensenNatalie PortmanEwan McGregor,3.7K,395 68
Shang-Chi Và Huyền Thoại Thập Luân,Shang-Chi and the Legend of the Ten Rings,2021,C13C132h 12m,7.4/10,362K,190,ActionAdventureFantasy,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",Destin Daniel Cretton,WritersDave Callaham(screenplay by)Destin Daniel Cretton(screenplay by)Andrew Lanham(screenplay by)StarsSimu LiuAwkwafinaTony Chiu-Wai Leung,2.4K,335 71
Chiến Tranh Giữa Các Vì Sao Tập 6: Sự Quay Trở Lại Của Jedi,Star Wars: Episode VI - Return of the Jedi,1983,PP2h 11m,8.3/10,1M,192,ActionAdventureFantasy,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",Richard Marquand,WritersLawrence Kasdan(screenplay by)George Lucas(screenplay by)StarsMark HamillHarrison FordCarrie Fisher,942,211 58
Léon: Sát Thủ Chuyên Nghiệp,Léon,1994,RR1h 50m,8.5/10,1.1M,195,ActionCrimeDrama,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Luc Besson,WriterLuc BessonStarsJean RenoGary OldmanNatalie Portman,1.4K,153 64
Tội Phạm Nhân Bản 2049,Blade Runner 2049,2017,C18C182h 44m,8.0/10,548K,198,ActionDramaMystery,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Denis Villeneuve,"WritersHampton Fancher(screenplay by)Michael Green(screenplay by)Philip K. Dick(based on characters from the novel ""Do Androids Dream of Electric Sheep?"" by)StarsHarrison FordRyan GoslingAna de Armas",2.4K,560 81
Biệt Đội Cảm Tử,Suicide Squad,2016,C16C162h 3m,5.9/10,676K,200,ActionAdventureFantasy,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,David Ayer,WritersDavid AyerJohn Ostrander(comic book)StarsWill SmithJared LetoMargot Robbie,2.5K,690 40
Captain America: Kẻ Báo Thù Đầu Tiên,Captain America: The First Avenger,2011,C13C132h 4m,6.9/10,827K,207,ActionAdventureSci-Fi,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a warmonger and a terrorist organization.",Joe Johnston,WritersChristopher Markus(screenplay)Stephen McFeely(screenplay)Joe Simon(comic books)StarsChris EvansHugo WeavingSamuel L. Jackson,1K,568 66
Sát Thủ John Wick,John Wick,2014,C16C161h 41m,7.4/10,612K,213,ActionCrimeThriller,An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.,Chad Stahelski,DirectorsChad StahelskiDavid Leitch(uncredited)WriterDerek KolstadStarsKeanu ReevesMichael NyqvistAlfie Allen,1.4K,466 68
Võ Sĩ Giác Đấu,Gladiator,2000,RR2h 35m,8.5/10,1.5M,220,ActionAdventureDrama,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,WritersDavid Franzoni(story)John Logan(screenplay)William Nicholson(screenplay)StarsRussell CroweJoaquin PhoenixConnie Nielsen,2.8K,219 67
Indiana Jones Và Chiếc Rương Thánh Tích,Raiders of the Lost Ark,1981,PGPG1h 55m,8.4/10,949K,227,ActionAdventure,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",Steven Spielberg,WritersLawrence Kasdan(screenplay by)George Lucas(story by)Philip Kaufman(story by)StarsHarrison FordKaren AllenPaul Freeman,1K,277 85
Gã Điên Báo Thù,Wrath of Man,2021,RR1h 59m,7.1/10,167K,229,ActionCrimeThriller,"The plot follows H, a cold and mysterious character working at a cash truck company responsible for moving hundreds of millions of dollars around Los Angeles each week.",Guy Ritchie,WritersNicolas Boukhrief(based upon the film 'Le Convoyeur' written by)Éric Besnard(based upon the film 'Le Convoyeur' written by)Guy Ritchie(screenplay by)StarsJason StathamHolt McCallanyJosh Hartnett,1.3K,225 57
