NameMovie,EnNameMovie,Year,Rating_runtime,IMDbRating,CustomerRating,Populary,Genre,Decribe,Director,Writter_Star,User_reviews,CriticReviews_Metascore
Yêu Thuong Quay Vê,Love & Mercy,2014,PG-13PG-132h 1m,7.4/10,39K,"3,254",BiographyDramaMusic,"In the 60s, Beach Boys leader Brian Wilson struggles with emerging psychosis as he attempts to craft his avant-garde pop masterpiece. In the 80s, he's a broken, confused man under the 24-hour watch of shady therapist, Dr. Eugene Landy.",Bill Pohlad,WritersOren MovermanMichael A. LernerBrian Wilson(based on the life of)StarsJohn CusackPaul DanoElizabeth Banks,188,278 80
Kẻ Bất Tài,Ed Wood,1994,RR2h 7m,7.8/10,175K,"3,293",BiographyComedyDrama,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.",Tim Burton,"WritersRudolph Grey(book ""Nightmare of Ecstasy"")Scott AlexanderLarry KaraszewskiStarsJohnny DeppMartin LandauSarah Jessica Parker",486,109 70
Đi Tìm Miền Đất Hứa,Finding Neverland,2004,PGPG1h 46m,7.7/10,206K,"3,306",BiographyDramaFamily,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,Marc Forster,"WritersAllan Knee(play ""The Man Who Was Peter Pan"")David Magee(screenplay)StarsJohnny DeppKate WinsletJulie Christie",681,206 67
Cám Dỗ Chết Người,A Dangerous Method,2011,RR1h 39m,6.4/10,103K,"3,312",BiographyDramaRomance,A look at how the intense relationship between Carl Jung and Sigmund Freud gives birth to psychoanalysis.,David Cronenberg,"WritersChristopher Hampton(screenplay)John Kerr(book ""A Most Dangerous Method"")StarsMichael FassbenderKeira KnightleyViggo Mortensen",223,351 76
Quản Gia Nhà Trắng,The Butler,2013,PG-13PG-132h 12m,7.2/10,115K,"3,346",BiographyDrama,"As Cecil Gaines serves eight presidents during his tenure as a butler at the White House, the civil rights movement, Vietnam, and other major events affect this man's life, family, and American society.",Lee Daniels,"WritersDanny StrongWil Haygood(article: ""A Butler Well Served by This Election"")StarsForest WhitakerOprah WinfreyJohn Cusack",383,308 65
Một Đời Ẩn Giấu,A Hidden Life,2019,PG-13PG-132h 54m,7.3/10,24K,"3,361",BiographyDramaRomance,"The Austrian Franz Jägerstätter, a conscientious objector, refuses to fight for the Nazis in World War II.",Terrence Malick,WriterTerrence MalickStarsAugust DiehlValerie PachnerMaria Simon,258,235 78
Sống còn,Alive,1993,RR2h,7.1/10,56K,"3,366",BiographyDramaThriller,"After crash-landing in the snowswept Andes, a Uruguayan rugby team have no choice but to turn to desperate measures in order to survive.",Frank Marshall,WritersPiers Paul Read(book)John Patrick Shanley(screenplay)StarsEthan HawkeVincent SpanoJosh Hamilton,145,46 56
Cuộc Đời Steve Jobs,Steve Jobs,2015,RR2h 2m,7.2/10,168K,"3,577",BiographyDrama,"Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac.",Danny Boyle,"WritersAaron Sorkin(screenplay)Walter Isaacson(book ""Steve Jobs"")StarsMichael FassbenderKate WinsletSeth Rogen",467,452 82
Thiếu Nữ Nổi Loạn,The Runaways,2010,RR1h 46m,6.5/10,49K,"3,660",BiographyDramaMusic,A coming-of-age biographical film about the 1970s teenage all-girl rock band The Runaways. The relationship between band members Cherie Currie and Joan Jett is also explored.,Floria Sigismondi,"WritersFloria Sigismondi(screenplay)Cherie Currie(book ""Neon Angel: The Cherie Currie Story"")StarsKristen StewartDakota FanningMichael Shannon",152,256 65
Hoàng Đế Cuối Cùng,The Last Emperor,1987,PG-13PG-132h 43m,7.7/10,102K,"3,769",BiographyDramaHistory,The story of the final Emperor of China.,Bernardo Bertolucci,WritersEnzo Ungari(initial screenplay collaboration)Mark Peploe(screenplay)Bernardo Bertolucci(screenplay)StarsJohn LoneJoan ChenPeter O'Toole,196,87 76
Những Nhà Văn Tự Do,Freedom Writers,2007,PG-13PG-132h 3m,7.6/10,78K,"3,784",BiographyCrimeDrama,"A young teacher inspires her class of at-risk students to learn tolerance, apply themselves and pursue education beyond high school.",Richard LaGravenese,"WritersRichard LaGravenese(screenplay)Freedom Writers(book ""The Freedom Writers Diary: How a Teacher and 150 Teens Used Writing to Change Themselves and the World Around Them"")Erin Gruwell(book ""The Freedom Writers Diary: How a Teacher and 150 Teens Used Writing to Change Themselves and the World Around Them"")StarsHilary SwankImelda StauntonPatrick Dempsey",296,78 64
Võ Sĩ Quyền Anh,Cinderella Man,2005,PG-13PG-132h 24m,8.0/10,186K,"3,785",BiographyDramaRomance,"The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world.",Ron Howard,WritersCliff Hollingsworth(screenplay)Akiva Goldsman(screenplay)StarsRussell CroweRenée ZellwegerCraig Bierko,613,206 69
Chuyện Hai Nữ Đầu Bếp,Julie & Julia,2009,PG-13PG-132h 3m,7.0/10,118K,"3,818",BiographyDramaRomance,Julia Child's story of her start in the cooking profession is intertwined with blogger Julie Powell's 2002 challenge to cook all the recipes in Child's first book.,Nora Ephron,"WritersNora Ephron(screenplay)Julie Powell(book ""Julie & Julia"")Julia Child(book ""My Life in France"")StarsAmy AdamsMeryl StreepChris Messina",351,252 66
Cuộc Giải Cứu Thần Kỳ,Saving Mr. Banks,2013,PG-13PG-132h 5m,7.5/10,161K,"3,894",BiographyComedyDrama,"Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen.",John Lee Hancock,WritersKelly MarcelSue SmithStarsEmma ThompsonTom HanksAnnie Rose Buckley,378,417 65
Mat Vu Snowden,Snowden,2016,RR2h 14m,7.3/10,151K,"3,929",BiographyCrimeDrama,"The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, Edward Snowden, in the form of thousands of classified documents distributed to the press.",Oliver Stone,"WritersKieran Fitzgerald(screenplay by)Oliver Stone(screenplay by)Luke Harding(book ""The Snowden Files"")StarsJoseph Gordon-LevittShailene WoodleyMelissa Leo",284,332 58
Jackie: De Nhat Phu Nhan,Jackie,2016,RR1h 40m,6.7/10,79K,"3,961",BiographyDrama,"Following the assassination of President John F. Kennedy, First Lady Jacqueline Kennedy fights through grief and trauma to regain her faith, console her children, and define her husband's historic legacy.",Pablo Larraín,WriterNoah OppenheimStarsNatalie PortmanPeter SarsgaardGreta Gerwig,344,425 81
Nhiệm Vụ Mật,Anthropoid,2016,RR2h,7.2/10,48K,"3,986",ActionBiographyDrama,"Based on the extraordinary true story of Operation Anthropoid, the WWII mission to assassinate SS General Reinhard Heydrich, the main architect behind the Final Solution and the Reich's third in command after Hitler and Himmler.",Sean Ellis,WritersSean EllisAnthony FrewinStarsJamie DornanCillian MurphyBrian Caspe,159,237 59
Giáo Sư Và Kẻ Điên,The Professor and the Madman,2019,Not RatedNot Rated2h 4m,7.2/10,45K,"3,993",BiographyDramaHistory,"Professor James Murray begins work compiling words for the first edition of the Oxford English Dictionary in the mid-19th century, and receives over 10,000 entries from a patient at Broadmoor Criminal Lunatic Asylum, Dr. William Minor.",Farhad Safinia,WritersTodd Komarnicki(screenplay by)Farhad Safinia(screenplay by)Simon Winchester(based on the book by)StarsMel GibsonSean PennEddie Marsan,470,73 27
Nhà Văn Tolkien,Tolkien,2019,PG-13PG-131h 52m,6.8/10,40K,"4,019",BiographyDramaRomance,"The formative years of the orphaned author J.R.R. Tolkien as he finds friendship, love and artistic inspiration among a group of fellow outcasts at school.",Dome Karukoski,WritersDavid GleesonStephen BeresfordStarsNicholas HoultLily CollinsColm Meaney,263,164 48
Quyền Bình Đẳng,On the Basis of Sex,2018,PG-13PG-132h,7.1/10,34K,"4,067",BiographyDrama,"The true story of Ruth Bader Ginsburg, her struggles for equal rights, and the early cases of a historic career that lead to her nomination and confirmation as U.S. Supreme Court Associate Justice.",Mimi Leder,WriterDaniel StieplemanStarsFelicity JonesArmie HammerJustin Theroux,222,184 59
Vị Vua Cuối Cùng Của Scotland,The Last King of Scotland,2006,RR2h 3m,7.6/10,185K,"4,084",BiographyDramaHistory,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.,Kevin Macdonald,WritersPeter Morgan(screenplay)Jeremy Brock(screenplay)Giles Foden(novel)StarsJames McAvoyForest WhitakerGillian Anderson,393,237 74
Bàn Chân Trái Của Tôi,My Left Foot: The Story of Christy Brown,1989,RR1h 43m,7.9/10,74K,"4,162",BiographyDrama,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.",Jim Sheridan,WritersShane Connaughton(screenplay)Jim Sheridan(screenplay)Christy Brown(novel)StarsDaniel Day-LewisBrenda FrickerAlison Whelan,117,56 97
Khách Sạn Rwanda,Hotel Rwanda,2004,PG-13PG-132h 1m,8.1/10,353K,"4,171",BiographyDramaHistory,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Terry George,WritersKeir PearsonTerry GeorgeStarsDon CheadleSophie OkonedoJoaquin Phoenix,703,157 79
Vụ Bắt Cóc Triệu Đô,All the Money in the World,2017,C16C162h 12m,6.8/10,85K,"4,274",BiographyCrimeDrama,The story of the kidnapping of 16-year-old John Paul Getty III and the desperate attempt by his devoted mother to convince his billionaire grandfather Jean Paul Getty to pay the ransom.,Ridley Scott,WritersDavid ScarpaJohn Pearson(based on the book 'Painfully Rich: The Outrageous Fortune and Misfortunes of the Heirs of J. Paul Getty' by)StarsMichelle WilliamsChristopher PlummerMark Wahlberg,282,323 72
Cặp Bài Trùng,Pat Garrett & Billy the Kid,1973,RR2h 2m,7.2/10,20K,"4,298",BiographyDramaWestern,Pat Garrett is hired as a lawman on behalf of a group of wealthy New Mexico cattle barons to bring down his old friend Billy the Kid.,Sam Peckinpah,WriterRudy WurlitzerStarsJames CoburnKris KristoffersonRichard Jaeckel,136,61 53
Nữ Công Tước,The Duchess,2008,PG-13PG-131h 50m,6.9/10,83K,"4,310",BiographyDramaHistory,"A chronicle of the life of 18th-century aristocrat Georgiana, Duchess of Devonshire, who was reviled for her extravagant political and personal life.",Saul Dibb,WritersJeffrey Hatcher(screenplay)Anders Thomas Jensen(screenplay)Saul Dibb(screenplay)StarsKeira KnightleyRalph FiennesDominic Cooper,173,122 62
Giết Người Yêu Dấu,Kill Your Darlings,2013,RR1h 44m,6.4/10,38K,"4,400",BiographyDramaRomance,"A murder in 1944 draws together the great poets of the beat generation: Allen Ginsberg, Jack Kerouac, and William Burroughs.",John Krokidas,WritersAustin Bunn(screenplay)John Krokidas(screenplay)StarsDaniel RadcliffeDane DeHaanMichael C. Hall,90,188 65
Cuộc Đời Chú Nhóc,This Boy's Life,1993,C13C131h 55m,7.3/10,53K,"4,507",BiographyDrama,"The story about the relationship between a rebellious 1950s teenager and his abusive stepfather, based on the memoirs of writer and literature Professor Tobias Wolff.",Michael Caton-Jones,WritersTobias Wolff(book)Robert Getchell(screenplay)StarsRobert De NiroLeonardo DiCaprioEllen Barkin,103,47 60
Lời Thú Tội Của Sát Nhân,Confessions of a Dangerous Mind,2002,RR1h 53m,7.0/10,88K,"4,617",BiographyComedyCrime,"An adaptation of the cult memoir of game show impresario Chuck Barris (Sam Rockwell), in which he purports to have been a C.I.A. hitman.",George Clooney,WritersChuck Barris(book)Charlie Kaufman(screenplay)StarsSam RockwellDrew BarrymoreGeorge Clooney,289,178 67
Quyền Lực Tuyệt Đối,J. Edgar,2011,RR2h 17m,6.5/10,128K,"4,623",BiographyDramaRomance,"J. Edgar Hoover, powerful head of the F.B.I. for nearly fifty years, looks back on his professional and personal life.",Clint Eastwood,WriterDustin Lance BlackStarsLeonardo DiCaprioArmie HammerNaomi Watts,307,398 59
Người Trọng Danh Dự,Men of Honor,2000,RR2h 9m,7.2/10,116K,"4,646",BiographyDrama,"The story of Carl Brashear, the first African-American U.S. Navy Diver, and the man who trained him.",George Tillman Jr.,WriterScott Marshall SmithStarsCuba Gooding Jr.Robert De NiroCharlize Theron,262,80 56
Bất Khuất,Invictus,2009,PG-13PG-132h 14m,7.3/10,159K,"4,787",BiographyDramaHistory,"Nelson Mandela, in his first term as President of South Africa, initiates a unique venture to unite the Apartheid-torn land: enlist the national rugby team on a mission to win the 1995 Rugby World Cup.",Clint Eastwood,"WritersAnthony Peckham(screenplay)John Carlin(book ""Playing the Enemy: Nelson Mandela and the Game that Made a Nation"")StarsMorgan FreemanMatt DamonTony Kgoroge",325,303 74
Diệp Vấn 4: Hồi Cuối,Yip Man 4,2019,Not RatedNot Rated1h 47m,7.0/10,32K,"4,851",ActionBiographyDrama,The Kung Fu master travels to the U.S. where his student has upset the local martial arts community by opening a Wing Chun school.,Wilson Yip,WritersEdmond WongHiroshi FukazawaTai-lee ChanStarsDonnie YenScott AdkinsDanny Kwok-Kwan Chan,313,72 62
Phóng Xạ,Radioactive,2019,PG-13PG-131h 49m,6.2/10,18K,"4,932",BiographyDramaRomance,The incredible true story of Marie Sklodowska-Curie and her Nobel Prize-winning work that changed the world.,Marjane Satrapi,WritersJack Thorne(screenplay by)Lauren Redniss(based on the book by)StarsRosamund PikeYvette FeuerMirjam Novak,214,120 56
Hustle: Cuộc Đua NBA,Hustle,2022,C16C161h 57m,7.4/10,82K,18,ComedyDramaSport,A basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.,Jeremiah Zagar,WritersTaylor MaterneWill FettersStarsAdam SandlerQueen LatifahJuancho Hernangomez,394,109 68
Chuyện Ngày Xưa Ở... Hollywood,Once Upon a Time in... Hollywood,2019,C18C182h 41m,7.6/10,700K,39,ComedyDrama,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,Quentin Tarantino,WriterQuentin TarantinoStarsLeonardo DiCaprioBrad PittMargot Robbie,5.7K,655 83
Trường Xưa,Old School,2003,RR1h 28m,7.0/10,229K,50,Comedy,Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.,Todd Phillips,WritersCourt Crandall(story)Todd Phillips(story)Scot Armstrong(story)StarsLuke WilsonVince VaughnWill Ferrell,436,89 54
Bố Của Cô Dâu,Father of the Bride,2022,PG-13PG-131h 57m,5.9/10,6.3K,57,ComedyDramaRomance,"A father's coming to grips with his daughter's upcoming wedding through the prism of multiple relationships within a big, sprawling Cuban-American clan.",Gary Alazraki,WritersMatt Lopez(screenplay by)Edward Streeter(based on the novel by)StarsAndy GarciaGloria EstefanAdria Arjona,151,24 65
Những Cô Nàng Lắm Chiêu,Mean Girls,2004,PG-13PG-131h 37m,7.1/10,375K,104,Comedy,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",Mark Waters,"WritersRosalind Wiseman(book ""Queen Bees and Wannabes"")Tina Fey(screenplay)StarsLindsay LohanJonathan BennettRachel McAdams",735,122 66
Lũ Quỷ Nhỏ,The Sandlot,1993,PGPG1h 41m,7.8/10,91K,139,ComedyDramaFamily,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",David Mickey Evans,WritersDavid Mickey EvansRobert GunterStarsTom GuiryMike VitarArt LaFleur,216,58 55
Giai Điệu Con Tim,CODA,2021,PG-13PG-131h 51m,8.0/10,117K,151,ComedyDramaMusic,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents.",Sian Heder,"WritersSian Heder(screenplay)Victoria Bedos(motion picture ""La Famille Belier"")Stanislas Carré de Malberg(motion picture ""La Famille Belier"")StarsEmilia JonesMarlee MatlinTroy Kotsur",628,249 74
Cưới Em Đi,Marry Me,2022,C13C131h 52m,6.1/10,26K,154,ComedyMusicRomance,"Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she instead decides to marry Charlie, a stranger in the crowd.",Kat Coiro,WritersJohn Rogers(screenplay by)Tami Sagher(screenplay by)Harper Dill(screenplay by)StarsJennifer LopezOwen WilsonMaluma,446,172 51
Đừng Nhìn Lên,Don't Look Up,2021,C18C182h 18m,7.2/10,513K,159,ComedyDramaSci-Fi,Two low-level astronomers must go on a giant media tour to warn mankind of an approaching comet that will destroy planet Earth.,Adam McKay,WritersAdam McKay(screenplay by)David Sirota(story by)StarsLeonardo DiCaprioJennifer LawrenceMeryl Streep,4.6K,302 49
Nhóc Jojo,Jojo Rabbit,2019,C13C131h 48m,7.9/10,374K,183,ComedyDramaWar,A young German boy in the Hitler Youth whose hero and imaginary friend is the country's dictator is shocked to discover that his mother is hiding a Jewish girl in their home.,Taika Waititi,WritersChristine Leunens(based upon the book 'Caging Skies' by)Taika Waititi(screenplay by)StarsRoman Griffin DavisThomasin McKenzieScarlett Johansson,1.7K,439 58
Kẻ Đâm Lén,Knives Out,2019,C16C162h 10m,7.9/10,599K,186,ComedyCrimeDrama,"A detective investigates the death of the patriarch of an eccentric, combative family.",Rian Johnson,WriterRian JohnsonStarsDaniel CraigChris EvansAna de Armas,2.8K,487 82
